Date,Text,Label
2023-06-15,random omg grind mode workout whatever whatever stressed but not sick mood swings so,non-flu
2023-10-02,party seriously lol just brunch meeting idk anymore idk so brunch,non-flu
2023-10-20,maybe stressed but not sick random bruh seriously 💯 so maybe,non-flu
2023-03-23,so chills seriously runny nose 😷 just nothing omg meh,flu
2023-03-30,omg body ache runny nose fatigue runny nose nothing text whatever,flu
2023-04-05,nothing 🔥 omg omg seriously party study grind,non-flu
2023-12-31,runny nose so sickkk bruh random,flu
2023-06-07,not sure if it's flu so maybe 😷 maybe nothing,flu
2023-10-09,nothing maybe lol omg so coffee time netflix binge text idk anymore,non-flu
2023-01-27,text fatigue maybe sickkk runny nose,flu
2023-04-01,overthinking idk meh random so random idk,flu
2023-05-07,maybe maybe birthday text idk netflix binge random idk,non-flu
2023-05-11,sickkk so sickkk just not sure if it's flu 😷 overthinking,flu
2023-05-12,just chilling brunch text random,non-flu
2023-04-20,seriously whatever bruh vacation mood swings,non-flu
2023-11-11,random not sure if it's flu nausea seriously cough sickkk fever,flu
2023-10-05,🔥 mood swings nothing whatever workout study grind text,non-flu
2023-08-19,text so omg idk party brunch whatever nothing,non-flu
2023-12-18,whatever maybe study grind birthday maybe nothing,non-flu
2023-06-30,random nothing meeting is this flu? study grind omg,non-flu
2023-08-20,maybe netflix binge coffee time idk,non-flu
2023-10-04,ugh feeling bad seriously allergies maybe? so maybe,flu
2023-03-16,sneeezing lol whatever 😷 overthinking body ache random whatever seriously nothing overthinking,flu
2023-12-27,lol runny nose so seriously sneeezing chills text,flu
2023-12-06,seriously nothing travel sleep deprived whatever omg stressed but not sick birthday sleep deprived whatever,non-flu
2023-01-26,nothing coffee time brunch brunch 🔥 seriously maybe,non-flu
2023-07-16,just chilling workout birthday idk so sleep deprived seriously so,non-flu
2023-11-21,maybe overthinking lol overthinking cough seriously,flu
2023-04-17,nothing maybe ugh feeling bad nothing ugh feeling bad nothing cough,flu
2023-10-17,nothing idk mood swings bruh birthday birthday seriously just study grind lol tired idk,non-flu
2023-08-24,workout seriously maybe 🔥 study grind seriously seriously idk anymore bruh random coffee time,non-flu
2023-01-30,seriously just exhausted just just omg just exhausted lol,flu
2023-03-18,so not sure if it's flu overthinking seriously runny nose headache maybe seriously lol random,flu
2023-12-27,body ache whatever runny nose so not sure if it's flu just just tired af nothing just,flu
2023-04-13,idk allergies maybe? 😷 nausea bruh ugh feeling bad random,flu
2023-06-28,random fever omg whatever not sure if it's flu just,flu
2023-09-06,lol tired lol sleep deprived idk,non-flu
2023-12-09,random whatever omg stressed but not sick seriously lol just study grind,non-flu
2023-11-10,whatever just chilling idk grind mode netflix binge just idk anymore lol,non-flu
2023-07-04,text maybe omg lol tired lol grind mode so coffee time idk,non-flu
2023-09-11,allergies maybe? text nothing just exhausted random bruh fatigue seriously nothing,flu
2023-10-28,stressed but not sick seriously party text,non-flu
2023-07-12,runny nose body ache text text random,flu
2023-05-27,travel nothing lol sleep deprived seriously brunch,non-flu
2023-02-15,lol sneeezing omg congestn bruh text bruh text,flu
2023-05-29,so workout text nothing meeting workout nothing nothing just chilling,non-flu
2023-12-15,lol sneeezing omg so random 😷 nothing sore throat,flu
2023-01-14,bruh not sure if it's flu headache whatever nausea,flu
2023-06-10,nothing random nausea random 😷,flu
2023-02-13,whatever workout nothing lol brunch,non-flu
2023-04-05,meeting seriously brunch text just random brunch,non-flu
2023-07-04,chills fever nausea whatever just exhausted maybe bruh body ache,flu
2023-01-08,netflix binge mood swings is this flu? maybe lol just grind mode,non-flu
2023-03-21,nothing not sure if it's flu sneeezing so random fatigue ugh feeling bad nothing,flu
2023-09-23,omg 🔥 random just just chilling so sleep deprived 💯 text random,non-flu
2023-10-07,text idk anymore so just random birthday maybe,non-flu
2023-07-31,whatever omg just exhausted allergies maybe? whatever congestn body ache,flu
2023-12-15,idk ugh feeling bad bruh random 😷 sickkk so idk chills seriously,flu
2023-01-02,random vacation coffee time bruh,non-flu
2023-12-28,lol random lol idk just exhausted headache tired af random bruh,flu
2023-09-26,ugh feeling bad body ache chills meh seriously whatever bruh just,flu
2023-06-23,fever omg runny nose omg bruh meh,flu
2023-06-14,sleep deprived bruh omg mood swings vacation,non-flu
2023-10-16,is this flu? brunch 💯 nothing omg random text travel vacation so,non-flu
2023-05-31,vacation mood swings stressed but not sick just grind mode whatever just,non-flu
2023-01-03,sore throat overthinking ugh feeling bad nothing nothing ugh feeling bad bruh whatever,flu
2023-03-16,is this flu? omg is this flu? seriously maybe party workout seriously,non-flu
2023-11-06,seriously party idk anymore lol whatever random,non-flu
2023-03-04,nothing ugh feeling bad overthinking allergies maybe? maybe nothing runny nose lol just,flu
2023-07-30,text text idk sickkk sore throat so tired af maybe so tired af,flu
2023-06-30,idk so so maybe meh runny nose sore throat nothing allergies maybe?,flu
2023-10-24,nothing tired af ugh feeling bad idk whatever bruh not sure if it's flu fever lol fever,flu
2023-10-26,seriously not sure if it's flu overthinking 😷 so congestn omg just bruh seriously,flu
2023-11-20,💯 text idk so 💯 💯,non-flu
2023-01-18,meeting seriously idk bruh idk brunch,non-flu
2023-11-01,maybe so mood swings seriously meeting,non-flu
2023-08-11,text idk workout seriously netflix binge seriously coffee time party just,non-flu
2023-09-11,nothing just chilling lol tired idk anymore just 💯 🔥,non-flu
2023-05-28,congestn bruh allergies maybe? sickkk seriously overthinking bruh,flu
2023-03-08,text 🔥 seriously sleep deprived maybe maybe grind mode seriously 💯 seriously,non-flu
2023-11-28,just chilling study grind 🔥 lol lol birthday,non-flu
2023-07-24,travel lol party seriously idk,non-flu
2023-11-17,bruh lol tired vacation meeting nothing so random sleep deprived,non-flu
2023-03-03,idk random not sure if it's flu lol just 😷 nausea bruh nausea,flu
2023-12-07,not sure if it's flu congestn just just just exhausted text idk tired af,flu
2023-08-16,stressed but not sick 💯 idk bruh,non-flu
2023-03-21,sickkk seriously sore throat congestn whatever bruh so overthinking nothing just,flu
2023-02-23,idk idk lol tired 🔥 maybe meeting birthday lol grind mode,non-flu
2023-10-08,birthday idk coffee time random 🔥 mood swings just is this flu? text whatever seriously,non-flu
2023-08-26,maybe tired af idk idk idk tired af just,flu
2023-11-10,netflix binge lol tired omg meeting idk,non-flu
2023-01-23,omg tired af bruh nothing maybe fatigue tired af tired af random,flu
2023-04-21,idk travel lol bruh grind mode whatever,non-flu
2023-07-18,seriously nothing idk not sure if it's flu just random cough overthinking idk,flu
2023-11-09,omg ugh feeling bad omg runny nose not sure if it's flu whatever bruh whatever just headache,flu
2023-01-16,whatever so seriously maybe just congestn not sure if it's flu whatever,flu
2023-11-04,😷 nothing just cough whatever lol sore throat,flu
2023-03-19,whatever just exhausted text chills omg ugh feeling bad not sure if it's flu,flu
2023-05-10,bruh so party whatever just birthday just,non-flu
2023-01-29,nothing random bruh brunch seriously maybe coffee time grind mode,non-flu
2023-10-01,maybe allergies maybe? so cough sore throat tired af allergies maybe? just idk,flu
2023-09-17,meeting maybe netflix binge bruh random grind mode so grind mode lol,non-flu
2023-10-02,not sure if it's flu allergies maybe? allergies maybe? maybe nausea bruh omg so text runny nose seriously,flu
2023-04-21,tired af seriously fatigue random chills allergies maybe?,flu
2023-03-17,study grind party just chilling whatever so 🔥 idk anymore just,non-flu
2023-08-08,omg text vacation text brunch text lol tired,non-flu
2023-06-22,fever omg nothing tired af omg allergies maybe? headache,flu
2023-01-12,seriously so mood swings mood swings study grind idk,non-flu
2023-12-15,💯 text lol tired whatever brunch whatever omg meeting so vacation idk,non-flu
2023-01-17,seriously omg 😷 bruh bruh omg sickkk headache,flu
2023-01-01,just exhausted omg fatigue just exhausted lol idk ugh feeling bad just maybe,flu
2023-06-03,party nothing nothing party lol,non-flu
2023-01-20,runny nose 😷 lol overthinking idk cough,flu
2023-02-08,random whatever runny nose whatever lol 😷 bruh overthinking omg,flu
2023-02-22,bruh seriously is this flu? grind mode whatever coffee time netflix binge vacation,non-flu
2023-12-16,maybe cough seriously sickkk omg just maybe,flu
2023-02-25,meh headache seriously seriously whatever,flu
2023-12-07,so sore throat random random chills sickkk lol whatever,flu
2023-09-17,just chilling so bruh omg lol meeting idk maybe,non-flu
2023-01-15,headache whatever sickkk maybe bruh just exhausted whatever just maybe,flu
2023-08-21,bruh nothing sickkk chills ugh feeling bad allergies maybe? sneeezing,flu
2023-12-18,netflix binge omg lol tired study grind 🔥 bruh idk birthday,non-flu
2023-06-18,sore throat overthinking whatever allergies maybe? sneeezing sneeezing just omg so,flu
2023-02-06,congestn just so maybe bruh maybe overthinking tired af,flu
2023-01-15,seriously cough omg idk nothing omg nausea,flu
2023-01-30,coffee time travel sleep deprived netflix binge whatever seriously 💯,non-flu
2023-08-03,lol maybe meh ugh feeling bad,flu
2023-10-31,idk stressed but not sick idk netflix binge,non-flu
2023-02-20,is this flu? just text mood swings just,non-flu
2023-06-02,maybe party party nothing lol nothing,non-flu
2023-10-12,grind mode brunch party omg is this flu? nothing vacation random,non-flu
2023-11-01,sore throat maybe sneeezing seriously ugh feeling bad just text maybe maybe meh congestn,flu
2023-05-02,omg random runny nose fatigue just just exhausted,flu
2023-05-03,just chilling just chilling whatever so birthday random whatever just chilling lol meeting,non-flu
2023-06-22,bruh random sore throat sneeezing omg text random text ugh feeling bad,flu
2023-05-27,💯 mood swings nothing workout 🔥 idk brunch random so text seriously,non-flu
2023-01-14,fever not sure if it's flu omg congestn just fatigue seriously,flu
2023-02-27,lol tired af idk headache seriously fatigue maybe tired af lol,flu
2023-08-14,nothing nothing lol text vacation omg mood swings,non-flu
2023-10-27,allergies maybe? headache not sure if it's flu text allergies maybe? omg omg random cough idk,flu
2023-08-31,travel stressed but not sick text bruh text nothing birthday text omg workout birthday,non-flu
2023-07-18,whatever sickkk sneeezing not sure if it's flu nothing tired af sickkk,flu
2023-08-28,lol vacation seriously bruh travel so 🔥,non-flu
2023-09-09,random body ache nothing whatever not sure if it's flu,flu
2023-09-02,just exhausted whatever ugh feeling bad just maybe fatigue,flu
2023-10-10,brunch so idk just omg just 🔥 sleep deprived 🔥,non-flu
2023-07-20,overthinking just lol nausea,flu
2023-06-03,tired af random lol ugh feeling bad congestn not sure if it's flu,flu
2023-09-03,travel bruh lol seriously lol idk anymore bruh,non-flu
2023-05-30,seriously travel so coffee time random brunch mood swings omg stressed but not sick bruh,non-flu
2023-12-18,coffee time so is this flu? 🔥 seriously maybe birthday lol so bruh brunch,non-flu
2023-07-23,birthday text workout text omg workout random,non-flu
2023-12-18,just not sure if it's flu seriously nausea,flu
2023-12-24,lol chills nothing sickkk so random,flu
2023-05-10,sickkk fever lol fever so not sure if it's flu maybe,flu
2023-08-28,nothing 😷 seriously omg chills,flu
2023-01-18,seriously mood swings birthday nothing study grind so lol tired meeting whatever text,non-flu
2023-07-24,maybe bruh idk idk sore throat just exhausted idk,flu
2023-08-22,grind mode seriously is this flu? omg idk anymore 🔥 seriously seriously birthday idk,non-flu
2023-04-24,cough omg whatever overthinking meh whatever maybe,flu
2023-12-13,lol tired vacation just so meeting maybe whatever 🔥 nothing grind mode,non-flu
2023-01-06,sore throat so seriously random text maybe fatigue nothing,flu
2023-12-30,fever not sure if it's flu whatever sickkk sneeezing bruh chills whatever,flu
2023-03-26,😷 random meh nausea text ugh feeling bad ugh feeling bad,flu
2023-05-08,idk overthinking maybe so maybe sore throat just sickkk text,flu
2023-10-03,just meh maybe idk random random tired af nausea so,flu
2023-06-28,nothing grind mode text whatever just coffee time seriously 🔥,non-flu
2023-05-30,seriously idk ugh feeling bad just exhausted idk idk,flu
2023-05-14,chills text idk whatever sneeezing omg idk congestn meh sickkk idk,flu
2023-11-22,maybe random just random nothing whatever stressed but not sick birthday 💯 💯,non-flu
2023-07-29,text workout seriously text just chilling coffee time,non-flu
2023-10-10,idk anymore 🔥 omg vacation vacation seriously bruh party,non-flu
2023-03-25,lol workout birthday just bruh so vacation coffee time birthday seriously random,non-flu
2023-01-08,lol sleep deprived idk maybe is this flu? maybe idk anymore,non-flu
2023-10-12,lol tired omg travel so study grind,non-flu
2023-07-28,is this flu? bruh meeting omg whatever,non-flu
2023-12-11,fatigue random fatigue bruh nothing sneeezing idk just maybe,flu
2023-03-01,tired af 😷 so so tired af maybe,flu
2023-06-17,grind mode travel meeting bruh bruh so just chilling just lol tired so,non-flu
2023-05-27,just grind mode just chilling study grind so mood swings,non-flu
2023-08-05,😷 whatever meh fatigue bruh runny nose seriously omg omg text,flu
2023-12-05,study grind idk anymore text omg just text lol nothing workout 🔥 stressed but not sick,non-flu
2023-11-30,text idk just sore throat sickkk so,flu
2023-04-22,so omg meh cough idk idk lol maybe fever sore throat sickkk,flu
2023-12-30,lol bruh vacation is this flu? stressed but not sick,non-flu
2023-06-15,ugh feeling bad random allergies maybe? just seriously just maybe sickkk body ache,flu
2023-11-09,just nausea sickkk maybe,flu
2023-02-16,ugh feeling bad text fatigue just exhausted maybe overthinking 😷,flu
2023-01-06,nausea text random ugh feeling bad so ugh feeling bad text lol random overthinking,flu
2023-08-09,brunch meeting seriously lol tired coffee time lol tired just,non-flu
2023-02-11,lol 💯 text party lol 💯 brunch lol coffee time nothing,non-flu
2023-03-05,just exhausted whatever ugh feeling bad fever bruh so lol ugh feeling bad nausea lol,flu
2023-09-04,seriously 🔥 lol lol tired idk,non-flu
2023-03-08,omg random random text idk so 💯 sleep deprived,non-flu
